"variable","value","total","perc_of_total","label_ne","label_en"
"b_empl_frml_agrmnt_status_pre_covid","1",22,"0.2056075","छ/थियो",NA
"b_empl_frml_agrmnt_status_pre_covid","2",85,"0.7943925","छैन/थिएन",NA
"b_empl_had_pan_pre_covid","1",87,"0.8130841","थियो",NA
"b_empl_had_pan_pre_covid","2",20,"0.1869159","थिएन",NA
"b_empl_wrk_sesonal_period","1",10,"0.1086957","१-३ महिना",NA
"b_empl_wrk_sesonal_period","2",74,"0.8043478","४-६ महिना",NA
"b_empl_wrk_sesonal_period","3",8,"0.0869565","७-९ महिना",NA
"i_econ_incm_chng_self","1",91,"0.8504673","कुल आय लगभग शुन्य (न्यून) भयो",NA
"i_econ_incm_chng_self","2",2,"0.0186916","कुल आय एक-चौथाई (२५%)ले घट्यो",NA
"i_econ_incm_chng_self","3",6,"0.0560748","कुल आय आधि (५०%)ले घट्यो",NA
"i_econ_incm_chng_self","4",7,"0.0654206","कुल आय तीन-चौथाई (७५%)ले घट्यो",NA
"i_econ_incm_chng_self","5",1,"0.0093458","कुल आय लगभग उस्तै रह्यो",NA
"i_empl_emplyr_in_tourism_change_post_covid","1",5,"0.3125","पर्यो",NA
"i_empl_emplyr_in_tourism_change_post_covid","2",11,"0.6875","परेन",NA
"i_empl_emplyr_in_tourism_change_post_covid_add","1",5,"0.8333333","पर्यो",NA
"i_empl_emplyr_in_tourism_change_post_covid_add","2",1,"0.1666667","परेन",NA
"i_empl_emplyr_in_tourism_prsnt_frml_agrmnt_status_add","2",6,"1","छैन",NA
"i_empl_in_tourism_paid_tax_post_covid_add","1",3,"0.5","पर्छ",NA
"i_empl_in_tourism_paid_tax_post_covid_add","2",3,"0.5","पर्दैन",NA
"i_empl_jb_prsnt_status","1",16,"0.1495327","छु, म पूर्ण रूपले पर्यटन क्षेत्रमा मात्रै काम गर्दै छु",NA
"i_empl_jb_prsnt_status","2",6,"0.0560748","छु, तर म पर्यटन लगायत अन्य क्षेत्रमा पनि काम गर्दै छु 
(हाल पर्यटन क्षेत्रको काम कुर्दै गरेका तर अन्य क्षेत्रको काम गर्दै गरेकालाई पनि)",NA
