"variable","value","total","perc_of_total","label_ne","label_en"
"b_empl_frml_agrmnt_status_pre_covid","1",20,"0.1960784","छ/थियो",NA
"b_empl_frml_agrmnt_status_pre_covid","2",82,"0.8039216","छैन/थिएन",NA
"b_empl_had_pan_pre_covid","1",83,"0.8137255","थियो",NA
"b_empl_had_pan_pre_covid","2",19,"0.1862745","थिएन",NA
"b_empl_wrk_sesonal_period","1",10,"0.1123596","१-३ महिना",NA
"b_empl_wrk_sesonal_period","2",71,"0.7977528","४-६ महिना",NA
"b_empl_wrk_sesonal_period","3",8,"0.0898876","७-९ महिना",NA
"i_econ_incm_chng_self","1",88,"0.8627451","कुल आय लगभग शुन्य (न्यून) भयो",NA
"i_econ_incm_chng_self","2",2,"0.0196078","कुल आय एक-चौथाई (२५%)ले घट्यो",NA
"i_econ_incm_chng_self","3",5,"0.0490196","कुल आय आधि (५०%)ले घट्यो",NA
"i_econ_incm_chng_self","4",6,"0.0588235","कुल आय तीन-चौथाई (७५%)ले घट्यो",NA
"i_econ_incm_chng_self","5",1,"0.0098039","कुल आय लगभग उस्तै रह्यो",NA
"i_empl_emplyr_in_tourism_change_post_covid","1",5,"0.3333333","पर्यो",NA
"i_empl_emplyr_in_tourism_change_post_covid","2",10,"0.6666667","परेन",NA
"i_empl_emplyr_in_tourism_change_post_covid_add","1",5,"0.8333333","पर्यो",NA
"i_empl_emplyr_in_tourism_change_post_covid_add","2",1,"0.1666667","परेन",NA
"i_empl_emplyr_in_tourism_prsnt_frml_agrmnt_status_add","2",6,"1","छैन",NA
"i_empl_in_tourism_paid_tax_post_covid_add","1",3,"0.5","पर्छ",NA
"i_empl_in_tourism_paid_tax_post_covid_add","2",3,"0.5","पर्दैन",NA
"i_empl_jb_prsnt_status","1",15,"0.1470588","छु, म पूर्ण रूपले पर्यटन क्षेत्रमा मात्रै काम गर्दै छु",NA
"i_empl_jb_prsnt_status","2",6,"0.0588235","छु, तर म पर्यटन लगायत अन्य क्षेत्रमा पनि काम गर्दै छु 
(हाल पर्यटन क्षेत्रको काम कुर्दै गरेका तर अन्य क्षेत्रको काम गर्दै गरेकालाई पनि)",NA
"i_empl_jb_prsnt_status","3",80,"0.7843137","अहिले पर्यटन क्षेत्रमा मैले गर्ने प्रकृतिको काम नभएकाले / नपाएकाले काम कुरेर बसिरहेको छु
 (अहिले कुनै किसिमको रोजगारी नगरी बसेको)",NA
"i_empl_jb_prsnt_status","4",1,"0.0098039","छैन, मैले पर्यटन क्षेत्र छाडिसकेको छु",NA
"i_empl_lst_date_full_salary","1",84,"0.8235294","कोभिड-१९ लकडाउन भन्दा पहिले (चैत्र २०७६ भन्दा पहिले) (Before March 2020)",NA
"i_empl_lst_date_full_salary","2",6,"0.0588235","बैशाख देखि असोज २०७७ को बीचमा (Between March and September 2020)",NA
"i_empl_lst_date_full_salary","3",3,"0.0294118","कार्तिक देखि पौष २०७७ को बीचमा (Between October and December 2020)",NA
"i_empl_lst_date_full_salary","4",7,"0.0686275","माघ २०७७ पछि (After December 2021)",NA
"i_empl_lst_date_full_salary","5",2,"0.0196078","मेरो पूर्ण तलब (आम्दानी)मा कोभिड-१९ले कुनै असर नगरेको",NA
"i_hlth_covid_infectn_family","1",8,"0.0784314","छ/थियो",NA
"i_hlth_covid_infectn_family","2",94,"0.9215686","छैन/थिएन",NA
"i_hlth_covid_infectn_self","1",6,"0.0588235","छ/थियो",NA
"i_hlth_covid_infectn_self","2",96,"0.9411765","छैन/थिएन",NA
"i_hlth_covid_infectn_self_time","2",4,"0.6666667","कार्तिक देखि पौष २०७७ को बीचमा (Between October and December 2020)",NA
"i_hlth_covid_infectn_self_time","3",2,"0.3333333","माघ २०७७ पछि (After December 2021)",NA
"i_lvlhd_domicile_chng_self","1",19,"0.1862745","पर्यो, तर म फेरि त्यहि ठाउँमा आई सकेको छु",NA
"i_lvlhd_domicile_chng_self","2",33,"0.3235294","पर्यो, म त्यहि गाउँ/सहरको अर्को ठाउँमा सरेको छु",NA
